,primary_key,location_code,location,plastics_polymer,plastics_applications,total_waste,total_use
0,OAMOtherOther,OAM,Other OECD America,Other,Other,1.024198885,1.06514
1,"OAMLDPE, LLDPEOther",OAM,Other OECD America,"LDPE, LLDPE",Other,0.16811306,0.17982
2,OAMHDPEOther,OAM,Other OECD America,HDPE,Other,0.132488033,0.132932
3,OAMPSOther,OAM,Other OECD America,PS,Other,0.061802197,0.062225
4,OAMPVCOther,OAM,Other OECD America,PVC,Other,0.209496912,0.208997
5,OAMPUROther,OAM,Other OECD America,PUR,Other,0.171701682,0.170419
6,OAMFibresOther,OAM,Other OECD America,Fibres,Other,0.347093718,0.368229
7,OAMBioplasticsOther,OAM,Other OECD America,Bioplastics,Other,0.008273956,0.008218
8,"OAMABS, ASA, SANOther",OAM,Other OECD America,"ABS, ASA, SAN",Other,0.023685863,0.024971
9,OAMOtherPackaging,OAM,Other OECD America,Other,Packaging,0.057819438,0.058153
10,"OAMLDPE, LLDPEPackaging",OAM,Other OECD America,"LDPE, LLDPE",Packaging,1.254865428,1.263675
11,OAMHDPEPackaging,OAM,Other OECD America,HDPE,Packaging,1.15237103,1.159623
12,OAMPPPackaging,OAM,Other OECD America,PP,Packaging,1.337647376,1.34613
13,OAMPSPackaging,OAM,Other OECD America,PS,Packaging,0.22489444,0.225814
14,OAMPVCPackaging,OAM,Other OECD America,PVC,Packaging,0.137738258,0.13745
15,OAMPETPackaging,OAM,Other OECD America,PET,Packaging,0.878133404,0.883625
16,OAMPURPackaging,OAM,Other OECD America,PUR,Packaging,0.012674437,0.012739
17,OAMBioplasticsPackaging,OAM,Other OECD America,Bioplastics,Packaging,0.048484946,0.048667
18,OAMOtherConsumer & institutional Products,OAM,Other OECD America,Other,Consumer & institutional Products,0.135805411,0.146022
19,"OAMLDPE, LLDPEConsumer & institutional Products",OAM,Other OECD America,"LDPE, LLDPE",Consumer & institutional Products,0.259041872,0.279035
20,OAMHDPEConsumer & institutional Products,OAM,Other OECD America,HDPE,Consumer & institutional Products,0.177988884,0.19241
21,OAMPPConsumer & institutional Products,OAM,Other OECD America,PP,Consumer & institutional Products,0.559353273,0.603469
22,OAMPSConsumer & institutional Products,OAM,Other OECD America,PS,Consumer & institutional Products,0.170846164,0.183524
23,OAMPVCConsumer & institutional Products,OAM,Other OECD America,PVC,Consumer & institutional Products,0.081774008,0.087308
24,OAMPURConsumer & institutional Products,OAM,Other OECD America,PUR,Consumer & institutional Products,0.072344263,0.077786
25,OAMBioplasticsConsumer & institutional Products,OAM,Other OECD America,Bioplastics,Consumer & institutional Products,0.005559512,0.005969
26,"OAMABS, ASA, SANConsumer & institutional Products",OAM,Other OECD America,"ABS, ASA, SAN",Consumer & institutional Products,0.137356527,0.147683
27,OAMOtherBuilding & construction,OAM,Other OECD America,Other,Building & construction,0.047299724,0.157821
28,"OAMLDPE, LLDPEBuilding & construction",OAM,Other OECD America,"LDPE, LLDPE",Building & construction,0.014936553,0.054073
29,OAMHDPEBuilding & construction,OAM,Other OECD America,HDPE,Building & construction,0.045359565,0.172483
30,OAMPPBuilding & construction,OAM,Other OECD America,PP,Building & construction,0.024285272,0.08736
31,OAMPSBuilding & construction,OAM,Other OECD America,PS,Building & construction,0.03000882,0.099867
32,OAMPVCBuilding & construction,OAM,Other OECD America,PVC,Building & construction,0.167938817,0.575078
33,OAMPURBuilding & construction,OAM,Other OECD America,PUR,Building & construction,0.025351589,0.084127
34,OAMBioplasticsBuilding & construction,OAM,Other OECD America,Bioplastics,Building & construction,0.000459478,0.001527
35,"OAMABS, ASA, SANBuilding & construction",OAM,Other OECD America,"ABS, ASA, SAN",Building & construction,0.001359548,0.004507
36,OAMOtherElectrical/electronics,OAM,Other OECD America,Other,Electrical/electronics,0.159067033,0.166151
