"Country or Area","Year","Item","Value"
"Afghanistan","2010","Gross Domestic Product (GDP)","521.428191089515"
"Albania","2010","Gross Domestic Product (GDP)","4093.82590041299"
"Algeria","2010","Gross Domestic Product (GDP)","4495.92145548343"
"Andorra","2010","Gross Domestic Product (GDP)","48190.9087284289"
"Angola","2010","Gross Domestic Product (GDP)","3586.6639016017"
"Anguilla","2010","Gross Domestic Product (GDP)","20461.4727086637"
"Antigua and Barbuda","2010","Gross Domestic Product (GDP)","13404.5160161036"
"Argentina","2010","Gross Domestic Product (GDP)","10376.7921783223"
"Armenia","2010","Gross Domestic Product (GDP)","3351.79759076402"
"Aruba","2010","Gross Domestic Product (GDP)","24452.5943070443"
"Australia","2010","Gross Domestic Product (GDP)","59089.2799565678"
"Austria","2010","Gross Domestic Product (GDP)","46861.2650748556"
"Azerbaijan","2010","Gross Domestic Product (GDP)","5727.49181827076"
"Bahamas","2010","Gross Domestic Product (GDP)","27046.7648256499"
"Bahrain","2010","Gross Domestic Product (GDP)","21186.8143292279"
"Bangladesh","2010","Gross Domestic Product (GDP)","829.463560069019"
"Barbados","2010","Gross Domestic Product (GDP)","16489.7965498287"
"Belarus","2010","Gross Domestic Product (GDP)","5881.14218868711"
"Belgium","2010","Gross Domestic Product (GDP)","44213.4558564252"
"Belize","2010","Gross Domestic Product (GDP)","5397.84670263826"
"Benin","2010","Gross Domestic Product (GDP)","1008.5054607808"
"Bermuda","2010","Gross Domestic Product (GDP)","104567.97011679"
"Bhutan","2010","Gross Domestic Product (GDP)","2194.11251294501"
"Bolivia (Plurinational State of)","2010","Gross Domestic Product (GDP)","1922.06468412532"
"Bosnia and Herzegovina","2010","Gross Domestic Product (GDP)","4506.93366379212"
"Botswana","2010","Gross Domestic Product (GDP)","6041.73570201238"
"Brazil","2010","Gross Domestic Product (GDP)","11249.2937410718"
"British Virgin Islands","2010","Gross Domestic Product (GDP)","40431.4849760488"
"Brunei Darussalam","2010","Gross Domestic Product (GDP)","34609.2979203294"
"Bulgaria","2010","Gross Domestic Product (GDP)","6675.51897790926"
"Burkina Faso","2010","Gross Domestic Product (GDP)","626.65897871162"
"Burundi","2010","Gross Domestic Product (GDP)","222.660850228918"
"Cabo Verde","2010","Gross Domestic Product (GDP)","3193.16598176538"
"Cambodia","2010","Gross Domestic Product (GDP)","782.695984439883"
"Cameroon","2010","Gross Domestic Product (GDP)","1382.46502493441"
"Canada","2010","Gross Domestic Product (GDP)","47617.91113651"
"Cayman Islands","2010","Gross Domestic Product (GDP)","76872.1753142736"
