"LOCATION","Location","PLASTIC_CATEGORY","Plastic category","PLASTIC_SOURCES","Plastic sources","Value","Flag Codes","Flags"
"OAM","Other OECD America","MACROPLASTICS","Macroplastics","TOTAL_MACROPLASTIC","Total Macroplastic",0.55810776,,
"OAM","Other OECD America","MACROPLASTICS","Macroplastics","MARINE_ACTIVITIES","Marine activities",0.004239922,,
"OAM","Other OECD America","MACROPLASTICS","Macroplastics","LITTERING","Littering",0.040186335,,
"OAM","Other OECD America","MACROPLASTICS","Macroplastics","MISMANAGED","Mismanaged",0.513681502,,
"OAM","Other OECD America","MICROPLASTICS","Microplastics","TOTAL_MICROPLASTIC","Total Microplastic",0.074017615,,
"OAM","Other OECD America","MICROPLASTICS","Microplastics","PRIMARY_PELLETS","Primary pellets",0.008639587,,
"OAM","Other OECD America","MICROPLASTICS","Microplastics","MICROBEADS","Microbeads",0.000107708,,
"OAM","Other OECD America","MICROPLASTICS","Microplastics","TEXTILE_WASH","Textile wash",0.000127706,,
"OAM","Other OECD America","MICROPLASTICS","Microplastics","TYRE_ABRASION","Tyre abrasion",0.017339429,,
"OAM","Other OECD America","MICROPLASTICS","Microplastics","BRAKE_DUST","Brake dust",0.001140006,,
"OAM","Other OECD America","MICROPLASTICS","Microplastics","ROAD_MARKINGS","Road markings",0.01030615,,
"OAM","Other OECD America","MICROPLASTICS","Microplastics","MARINE_COATINGS","Marine coatings",0.001329692,,
"OAM","Other OECD America","MICROPLASTICS","Microplastics","ARTIFICIAL_TURF","Artificial turf",0.002043094,,
"OAM","Other OECD America","MICROPLASTICS","Microplastics","MICROPLASTICS_DUST","Microplastics dust",0.019985217,,
"OAM","Other OECD America","MICROPLASTICS","Microplastics","WW_SLUDGE","WW sludge",0.012999026,,
"O22","OECD EU ","MACROPLASTICS","Macroplastics","TOTAL_MACROPLASTIC","Total Macroplastic",0.550793731,,
"O22","OECD EU ","MACROPLASTICS","Macroplastics","MARINE_ACTIVITIES","Marine activities",0.013282221,,
"O22","OECD EU ","MACROPLASTICS","Macroplastics","LITTERING","Littering",0.092472671,,
"O22","OECD EU ","MACROPLASTICS","Macroplastics","MISMANAGED","Mismanaged",0.445038839,,
"O22","OECD EU ","MICROPLASTICS","Microplastics","TOTAL_MICROPLASTIC","Total Microplastic",0.281274891,,
