"LOCATION","Location","PLASTICS_APPLICATIONS","Plastics applications","PLASTICS_POLYMER","Plastics polymer","Value","Flag Codes","Flags"
"OAM","Other OECD America","OTHER","Other","OTHER","Other",1.06514,,
"OAM","Other OECD America","OTHER","Other","LDPE_LLDPE","LDPE, LLDPE",0.17982,,
"OAM","Other OECD America","OTHER","Other","HDPE","HDPE",0.132932,,
"OAM","Other OECD America","OTHER","Other","PS","PS",0.062225,,
"OAM","Other OECD America","OTHER","Other","PVC","PVC",0.208997,,
"OAM","Other OECD America","OTHER","Other","PUR","PUR",0.170419,,
"OAM","Other OECD America","OTHER","Other","FIBERS","Fibres",0.368229,,
"OAM","Other OECD America","OTHER","Other","BIOPLASTICS","Bioplastics",0.008218,,
"OAM","Other OECD America","OTHER","Other","ABS_ASA_SAN","ABS, ASA, SAN",0.024971,,
"OAM","Other OECD America","OTHER","Other","TOTAL","Total",2.220951,,
"OAM","Other OECD America","PACKAGING","Packaging","OTHER","Other",0.058153,,
"OAM","Other OECD America","PACKAGING","Packaging","LDPE_LLDPE","LDPE, LLDPE",1.263675,,
"OAM","Other OECD America","PACKAGING","Packaging","HDPE","HDPE",1.159623,,
"OAM","Other OECD America","PACKAGING","Packaging","PP","PP",1.34613,,
"OAM","Other OECD America","PACKAGING","Packaging","PS","PS",0.225814,,
"OAM","Other OECD America","PACKAGING","Packaging","PVC","PVC",0.13745,,
"OAM","Other OECD America","PACKAGING","Packaging","PET","PET",0.883625,,
"OAM","Other OECD America","PACKAGING","Packaging","PUR","PUR",0.012739,,
"OAM","Other OECD America","PACKAGING","Packaging","BIOPLASTICS","Bioplastics",0.048667,,
"OAM","Other OECD America","PACKAGING","Packaging","TOTAL","Total",5.135877,,
"OAM","Other OECD America","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","OTHER","Other",0.146022,,
"OAM","Other OECD America","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","LDPE_LLDPE","LDPE, LLDPE",0.279035,,
"OAM","Other OECD America","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","HDPE","HDPE",0.19241,,
"OAM","Other OECD America","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","PP","PP",0.603469,,
"OAM","Other OECD America","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","PS","PS",0.183524,,
"OAM","Other OECD America","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","PVC","PVC",0.087308,,
"OAM","Other OECD America","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","PUR","PUR",0.077786,,
"OAM","Other OECD America","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","BIOPLASTICS","Bioplastics",0.005969,,
"OAM","Other OECD America","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","ABS_ASA_SAN","ABS, ASA, SAN",0.147683,,
"OAM","Other OECD America","CONSUMER___INSTITUTIONAL_PRODUCTS","Consumer & institutional Products","TOTAL","Total",1.723206,,
